commission,entryDt,entryID,entryPrice,exitDt,exitID,exitPrice,pnl,slippage,symbol,turnover,volume
34.193,2017-02-15 13:00:00,124,3412.0,2017-02-20 11:00:00,125,3426.6,101.80699999999909,10.0,IF88:CTP,68386.0,10
34.517,2017-02-20 14:15:00,126,3441.6,2017-02-22 09:30:00,127,3461.8,157.48300000000273,10.0,IF88:CTP,69034.0,10
34.373,2017-02-24 13:30:00,128,3442.6,2017-02-28 11:00:00,129,3432.0,-150.37299999999908,10.0,IF88:CTP,68746.0,10
34.353,2017-03-01 10:00:00,130,3436.6,2017-03-02 13:00:00,131,3434.0,-70.3529999999991,10.0,IF88:CTP,68706.0,10
34.184,2017-03-07 14:45:00,132,3427.6,2017-03-10 13:00:00,133,3409.2,139.8160000000009,10.0,IF88:CTP,68368.0,-10
34.422000000000004,2017-03-17 09:30:00,134,3461.0,2017-03-17 14:45:00,136,3423.4,-420.4219999999991,10.0,IF88:CTP,68844.0,10
34.22,2017-03-17 14:45:00,137,3423.4,2017-03-21 10:30:00,138,3420.6,-16.21999999999818,10.0,IF88:CTP,68440.0,-10
34.218,2017-03-22 14:30:00,139,3423.4,2017-03-23 13:30:00,140,3420.2,-12.217999999997275,10.0,IF88:CTP,68436.0,-10
34.743,2017-03-24 14:45:00,141,3481.6,2017-03-27 14:45:00,142,3467.0,-190.74299999999909,10.0,IF88:CTP,69486.0,10
34.491,2017-03-29 13:45:00,143,3467.4,2017-03-30 14:45:00,145,3430.8,-410.4909999999991,10.0,IF88:CTP,68982.0,10
34.349000000000004,2017-03-30 14:45:00,146,3430.8,2017-03-31 11:00:00,147,3439.0,-126.34899999999818,10.0,IF88:CTP,68698.0,-10
34.905,2017-04-10 13:15:00,148,3505.6,2017-04-11 13:00:00,149,3475.4,-346.90499999999815,10.0,IF88:CTP,69810.0,10
34.991,2017-04-12 09:45:00,150,3500.8,2017-04-14 09:45:00,151,3497.4,-78.99100000000091,10.0,IF88:CTP,69982.0,10
34.375,2017-04-19 13:00:00,152,3439.6,2017-04-20 13:45:00,153,3435.4,-2.375000000001819,10.0,IF88:CTP,68750.0,-10
34.19,2017-04-24 10:15:00,154,3410.8,2017-04-25 13:15:00,155,3427.2,-208.18999999999636,10.0,IF88:CTP,68380.0,-10
34.082,2017-04-27 10:00:00,156,3401.2,2017-04-28 13:30:00,157,3415.2,-184.082,10.0,IF88:CTP,68164.0,-10
33.957,2017-05-03 14:30:00,158,3393.4,2017-05-04 14:15:00,159,3398.0,-89.95699999999908,10.0,IF88:CTP,67914.0,-10
